SN,Survey,snetype,Type,AB,AV,AR,AI,sdssr,sdssi,RAX,DECX,Zcmb
SN2006hx,CSP,main,Ia,0.109,0.082,0.065,0.045,0.069,0.051,01h13m57.3s,+00d06m25.72s,0.0455
SN2006is,CSP,main,Ia,0.122,0.092,0.073,0.051,0.077,0.057,05h17m34.4s,-23d50m03.24s,0.031
SN2006kf,CSP,main,Ia,0.890,0.673,0.533,0.370,0.561,0.417,03h41m50.5s,+07d59m51.94s,0.0213
SN2006lu,CSP,main,Ia,0.419,0.316,0.250,0.174,0.264,0.196,09h15m17.6s,-25d23m29.05s,0.0534
SN2006mr,CSP,main,Ia,0.076,0.057,0.045,0.031,0.048,0.036,03h22m42.8s,-37d23m07.04s,0.0059
SN2006ob,CSP,main,Ia,0.120,0.091,0.072,0.050,0.076,0.056,01h51m48.1s,+00d01m00.35s,0.0592
SN2006os,CSP,main,Ia,0.529,0.400,0.316,0.220,0.333,0.248,02h55m01.0s,+15d48m26.72s,0.0328
SN2006ot,CSP,main,Ia,0.064,0.049,0.038,0.027,0.040,0.030,02h15m04.8s,-20d59m54.30s,0.0531
SN2006py,CSP,main,Ia,0.218,0.165,0.130,0.090,0.137,0.102,22h41m42.0s,-00d23m55.32s,0.0579
SN2006X,CSP,main,Ia,0.095,0.072,0.057,0.039,0.060,0.045,12h22m54.0s,+16d05m10.77s,0.0052
SN2007A,CSP,main,Ia,0.267,0.202,0.160,0.111,0.168,0.125,00h25m16.6s,+12d36m35.80s,0.0177
SN2007af,CSP,main,Ia,0.142,0.107,0.085,0.059,0.090,0.067,14h22m21.0s,-00d09m59.28s,0.0055
SN2007ai,CSP,main,Ia,1.201,0.909,0.719,0.499,0.757,0.563,16h12m53.7s,-21d30m11.35s,0.0317
SN2007al,CSP,main,Ia,0.152,0.115,0.091,0.063,0.096,0.071,09h59m18.5s,-19d14m01.89s,0.0122
SN2007as,CSP,main,Ia,0.516,0.391,0.309,0.214,0.325,0.242,09h27m36.0s,-79d57m28.29s,0.0176
SN2007ax,CSP,main,Ia,0.195,0.148,0.117,0.081,0.123,0.091,08h22m43.2s,+22d42m56.17s,0.0069
SN2007ba,CSP,main,Ia,0.133,0.101,0.080,0.055,0.084,0.062,15h16m42.6s,+07d34m47.01s,0.0385
SN2007bc,CSP,main,Ia,0.079,0.059,0.047,0.033,0.049,0.037,11h19m14.6s,+21d04m57.78s,0.0208
SN2007bd,CSP,main,Ia,0.123,0.093,0.074,0.051,0.078,0.058,08h31m33.3s,-01d01m46.90s,0.0309
SN2007bm,CSP,main,Ia,0.149,0.113,0.089,0.062,0.094,0.070,11h25m02.3s,-09d31m24.03s,0.0062
SN2007ca,CSP,main,Ia,0.242,0.183,0.145,0.101,0.153,0.113,13h31m05.8s,-14d50m40.18s,0.0141
SN2007cg,CSP,main,Ia,0.297,0.225,0.178,0.123,0.187,0.139,13h25m33.6s,-24d23m32.58s,0.0332
SN2007hj,CSP,main,Ia,0.319,0.242,0.191,0.133,0.201,0.150,23h01m47.9s,+15d19m02.74s,0.0141
SN2007hx,CSP,main,Ia,0.127,0.096,0.076,0.053,0.080,0.060,02h06m27.1s,-01d08m14.74s,0.0794
SN2007if,CSP,main,Ia,0.299,0.226,0.179,0.124,0.189,0.140,01h10m51.4s,+15d11m43.49s,0.0742
SN2007jd,CSP,main,Ia,0.280,0.212,0.167,0.116,0.176,0.131,02h59m53.4s,+00d57m45.59s,0.0726
SN2007jg,CSP,main,Ia,0.385,0.291,0.230,0.160,0.243,0.180,03h29m50.8s,-00d06m50.51s,0.0371
SN2007jh,CSP,main,Ia,0.376,0.284,0.225,0.156,0.237,0.176,03h36m01.5s,+00d56m18.62s,0.0408
SN2007le,CSP,main,Ia,0.121,0.092,0.073,0.050,0.076,0.057,23h38m48.4s,-06d47m58.79s,0.0067
SN2007mm,CSP,main,Ia,0.132,0.100,0.079,0.055,0.083,0.062,01h05m46.7s,-01d01m34.63s,0.0664
SN2007N,CSP,main,Ia,0.146,0.111,0.087,0.061,0.092,0.068,12h49m01.2s,-09d10m49.57s,0.0129
